"","p1","p2","alpha","xi","n","rd","seed","logbf","pm_alpha","pm_xi","chisq_stat","chisq_pvalue"
"176",1,1,0.0833333333333333,0.333333333333333,1000,10,83,10.5412398065257,0.114727995083412,0.334957142749143,Inf,0
"177",0,2,0,0.166666666666667,1000,100,63,13.343721376812,0.0797581113452621,0.252965622948232,Inf,0
"178",1,2,0,0.166666666666667,1000,10,51,9.46710623352055,0.049241277040741,0.218840797869494,Inf,0
"179",1,2,0.166666666666667,0.166666666666667,1000,10,83,8.37214573437222,0.115403956151337,0.104528075195514,Inf,0
"180",1,2,0.166666666666667,0,1000,10,5,5.95525248724016,0.145050444517651,0.0524393128672448,Inf,0
"181",0,2,0.166666666666667,0.166666666666667,100,10,3,4.56939798320556,0.103345180021917,0.0969284381462198,Inf,0
"182",2,2,0,0.166666666666667,10,10,81,2.33257363455951,0.0794354176847255,0.376336689610148,2.2,0.699029275765967
"183",1,2,0,0.166666666666667,1000,10,2,9.13660335954273,0.0326720569262448,0.255888183012257,Inf,0
"184",1,1,0,0,10,10,44,2.48836104930438,0.0872324300269883,0.334879512973475,3.6,0.165298888221586
"185",1,2,0.166666666666667,0.333333333333333,10,100,14,2.66462216228771,0.0853261480681998,0.312215746330322,2.96,0.397833594656796
"186",0,1,0,0.166666666666667,10,10,64,4.72291483972698,0.077105274717912,0.331325488712524,0.4,0.527089256865538
"187",0,1,0,0.166666666666667,10,100,19,5.17347437337869,0.0809328389948702,0.334863126943391,0.4,0.527089256865538
"188",1,2,0,0.166666666666667,10,10,84,2.03656833282524,0.0849208935648964,0.330990172262748,8.23999999999999,0.0413034922301207
"189",0,1,0.0833333333333333,0.333333333333333,10,10,45,3.59994299058825,0.0870972246025989,0.335867190576698,Inf,0
"190",2,2,0,0.333333333333333,100,100,100,5.93494765558626,0.0806463979054171,0.385667295040977,0.94,0.91875333437557
"191",2,2,0,0.166666666666667,1000,100,57,9.60232833918235,0.0806840588050026,0.233733790167114,55.2609999999999,2.86454236977437e-11
"192",0,2,0.0833333333333333,0.333333333333333,100,10,15,8.13299872507577,0.0820135376166106,0.2778265969268,Inf,0
"193",2,2,0.0833333333333333,0.166666666666667,1000,100,43,7.60771179091716,0.0821493929266474,0.186403071302207,88.1184999999999,3.30441668917276e-18
"194",0,2,0.0833333333333333,0.333333333333333,100,10,13,7.8836841946943,0.0799849563995733,0.395818539909181,Inf,0
"195",2,2,0.166666666666667,0,100,100,65,4.53636416044992,0.0981081761496196,0.117911623396901,22.78,0.000140106136551148
"196",1,1,0,0.333333333333333,1000,10,28,12.1592106448561,0.0350440853728617,0.337900692861811,Inf,0
"197",1,1,0,0.333333333333333,1000,10,14,11.7946595500928,0.0246810149670421,0.325858509359488,Inf,0
"198",0,1,0.0833333333333333,0.333333333333333,1000,100,98,16.271836228364,0.0934178554303296,0.333333280221844,Inf,0
"199",1,2,0.166666666666667,0,100,10,84,4.09434343174024,0.0997963376403669,0.177213534997104,Inf,0
"200",0,1,0.166666666666667,0.333333333333333,100,100,36,9.8563880249211,0.116306946151388,0.334917778422781,Inf,0
"201",0,2,0.166666666666667,0,100,100,46,4.87939033514743,0.131922269330152,0.0422533383140451,Inf,0
"202",1,1,0.0833333333333333,0.333333333333333,10,10,24,2.40335836841063,0.0754067949674528,0.336786342438001,3.6,0.165298888221587
"203",0,2,0.0833333333333333,0.333333333333333,100,10,96,6.65098204017937,0.0805639674206102,0.377078962223029,Inf,0
"204",1,2,0,0.166666666666667,100,100,69,5.90220804242529,0.053079395379392,0.485834485721598,3.536,0.316122969400282
"205",0,2,0,0.333333333333333,10,100,89,4.20498699568073,0.0756675792883308,0.471810744431676,0.800000000000001,0.670320046035639
"206",0,2,0,0.333333333333333,1000,100,31,11.5631624128191,0.0744551271818728,0.498001030163161,Inf,0
"207",1,2,0,0,10,10,36,1.94642803960383,0.0867269749988734,0.273770065189475,4.4,0.221385387189488
"208",2,2,0.0833333333333333,0.166666666666667,1000,10,37,4.54653420870318,0.0811960445038819,0.2252268485857,114.298,8.8114403220899e-24
"209",0,1,0,0.333333333333333,100,100,72,11.2647309709793,0.0409450909240234,0.331668276854153,Inf,0
"210",1,2,0.166666666666667,0.166666666666667,100,100,85,3.94072259026194,0.0837256930599439,0.107076554123331,16.784,0.000782834301298584
"211",1,2,0.0833333333333333,0,100,10,17,3.76630993021354,0.0766984969513471,0.27858841717351,28.592,2.72804084202018e-06
"212",1,2,0.0833333333333333,0.166666666666667,100,10,45,2.90213855393469,0.11486515667977,0.164960754063629,Inf,0
"213",1,1,0.0833333333333333,0.166666666666667,10,10,69,2.43669713024804,0.0757626682187138,0.333991633272753,Inf,0
"214",1,1,0,0,10,10,16,1.19070657627002,0.0860102733971218,0.332331119202862,Inf,0
"215",0,1,0.166666666666667,0.166666666666667,10,10,25,3.54795947746467,0.0898924341194553,0.327854885872147,Inf,0
"216",1,2,0,0,1000,10,93,8.23872330113045,0.0437205036075426,0.0621943598244057,Inf,0
"217",0,2,0.0833333333333333,0.166666666666667,10,10,92,2.9122836049769,0.0845123153234128,0.311976349446904,Inf,0
"218",1,1,0,0,100,100,14,8.24515230918399,0.0502715642019629,0.332372521373622,Inf,0
"219",0,1,0.166666666666667,0,1000,10,78,14.0433222488796,0.123707159632603,0.338522635175888,Inf,0
"220",0,2,0,0.333333333333333,1000,100,46,14.6789284492515,0.0810841250014825,0.47821036462114,Inf,0
"221",2,2,0.0833333333333333,0.333333333333333,1000,10,17,6.8744874915169,0.0806352297991965,0.392641082677021,46.1004999999999,2.34705471292935e-09
"222",1,1,0,0,100,10,96,7.09197475047236,0.0654093599911823,0.332673690879597,Inf,0
"223",1,2,0.0833333333333333,0.333333333333333,100,100,73,7.13100483025124,0.0791615941947315,0.249693779876768,9.58399999999999,0.0224543293913777
"224",1,1,0,0.333333333333333,1000,100,97,12.46076813018,0.00528278151643743,0.336970902533419,Inf,0
"225",1,2,0,0.166666666666667,10,10,54,2.55580814380985,0.0817801529660395,0.336728337782965,2,0.57240670447088
"226",1,1,0,0.166666666666667,1000,10,78,5.01277252141244,0.0154582294372477,0.333449856110231,Inf,0
"227",1,2,0,0.333333333333333,100,100,44,6.40815393573297,0.0672403400646991,0.304981201423311,3.344,0.341565464540649
"228",0,1,0.0833333333333333,0,10,10,22,2.13679689485797,0.0903006304022664,0.334878908595228,Inf,0
